P&ID No,Dynamic Code,Category,Size,Area Code,Serial No,Series Code,Fluid Code,Piping Class,Qty,Motor Actuator,Pneumatic Actuator ,Solenoid,line
L2010-B115-DWG-PR-6127,M,VC,"4""",-,2361,-,OC,H5-IN,1,x,-,-,
L2010-B115-DWG-PR-6127,-,VC,"4""",-,2362,-,OC,H5-IN,1,-,-,-,
L2010-B115-DWG-PR-6127,-,VB,"4""",-,2363,-,OC,H5-IN,1,-,-,-,
L2010-B115-DWG-PR-6127,SL,VB,"1""",-,2364,-,OC,H5-IN,1,-,-,x,
,,,,,,,,,,,,,
L2010-B115-DWG-PR-6128,-,VM,TBA,-,2401,-,GL,A5-N,1,-,-,-,
L2010-B115-DWG-PR-6128,-,VC,TBA,-,2402,-,VA,A5-N,1,-,-,-,
,,,,,,,,,,,,,
L2010-B115-DWG-PR-6129,-,VM,TBA,-,2447,-,DC,A5-N,1,-,-,-,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,-,-,-,
MUK-1004-001,-,BF,20,62,151031,-,W,BGA,1,-,-,-,
