P&ID No,Dynamic Code,Category,Size,Area Code,Serial No,Series Code,Fluid Code,Piping Class,Qty,Motor Actuator,Pneumatic Actuator ,Solenoid,line
MUK-1004-001,-,GL,TBA,62,151008,-,,,1,-,-,-,
MUK-1004-001,-,CK,TBA,62,151012,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151022,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151023,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151024,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151025,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151026,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151027,-,,,1,-,-,-,
MUK-1004-001,-,DB,TBA,62,151028,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151031,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151032,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151053,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151054,-,,,1,-,-,-,
MUK-1004-001,-,BV,TBA,62,151061,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151065,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151066,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151067,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151068,-,,,1,-,-,-,
MUK-1004-001,-,BF,TBA,62,151069,-,,,1,-,-,-,
MUK-1004-001,-,BV,TBA,62,151072,-,,,1,-,-,-,"2"""
MUK-1004-001,-,BV,TBA,62,151073,-,,,1,-,-,-,"2"""
MUK-1004-001,-,BV,TBA,62,151074,-,,,1,-,-,-,
MUK-1004-001,-,BV,TBA,62,151075,-,,,1,-,-,-,
MUK-1004-001,-,BV,TBA,62,151076,-,,,1,-,-,-,
MUK-1004-001,-,BV,TBA,62,151077,-,,,1,-,-,-,2
MUK-1004-001,-,BV,TBA,62,151116,-,,,1,-,-,-,"2"""
MUK-1004-001,-,BV,TBA,62,151117,-,,,1,-,-,-,
